,Term0,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9
146,weapons,lewis,sheriff,dorset,weapon,forth,canal,firearms,john,demo
147,family,die,death,father,son,life,friends,love,brother,live
148,change,climate,emissions,practical,warm,carbon,temperatures,kelly,model,reverse
149,un,rebel,peace,talk,aid,government,conflict,group,opposition,supermarket
150,door,knife,flat,sussex,stab,mask,lock,inside,matthew,kitchen
151,card,smoke,brian,lisa,male,maria,suffolk,zoo,laura,sutherland
152,bristol,brown,oxford,valley,somerset,thames,bath,clock,harris,mercedes
153,eu,uk,referendum,european,leave,britain,campaign,vote,europe,union
154,labour,party,leader,conservative,mps,shadow,conservatives,debate,tory,secretary
155,sexual,assault,abuse,victims,sex,girl,victim,woman,one,rap
156,business,engineer,new,job,uk,investment,businesses,service,years,create
157,work,live,help,support,charity,life,need,age,society,young
158,race,isle,grand,attendance,tight,toy,liam,collisions,fee,tank
159,manchester,yorkshire,pub,greater,lancashire,leeds,nottingham,disaster,nottinghamshire,crush
160,police,officer,force,crime,call,public,chief,operation,seize,criminal
161,cancer,treatment,brain,medical,bird,diagnose,doctor,suffer,condition,patients
162,sir,green,philip,ice,richard,freeze,tube,melt,automatic,float
163,children,child,young,parent,boys,age,home,families,nursery,two
164,suspend,donations,horse,kenya,jewish,cleric,jews,somalia,holocaust,suspension
165,blue,colour,hong,kong,jackpot,rob,bright,badge,decorate,venues
166,iran,india,indian,sanction,iranian,delhi,hole,state,tehran,thread
167,prison,prisoners,justice,jail,release,inmates,morgan,prisons,offenders,serve
168,german,germany,indonesia,van,taxi,germans,austria,barely,indonesian,morris
169,work,art,museum,design,artists,national,public,create,paint,open
170,glass,machine,bag,bite,pattern,remote,experiment,start,around,piece
171,russian,russia,western,sweden,putin,ukraine,eastern,vladimir,president,isles
172,club,sport,league,season,premier,newcastle,champion,yemen,football,former
173,red,bear,wildlife,trust,tom,breed,species,protect,national,bernard
174,tower,method,caution,rough,proof,heathrow,tomorrow,runway,react,northumberland
